Company,Job Title,Status,Publishing Date,Salary,Location,Job Description
BCT Resourcing,Electronics Design Engineer,Permanent,17/07/2024,Unknown,"Cheltenham, England, United Kingdom","Electronics Design EngineerCheltenham, GloucestershireCompany client is currently recruiting for an Electronics Design Engineer to join our collaborative engineering team in Cheltenham, on a permanent basis.As an Electronics Design Engineer with Belcan from day-to-day you will design practical solutions, from concept to delivery, working with colleagues to understand customer needs to design the solutions. Ensure risk to the business is reduced through change management requirements, drawings, and project planning (plan and prepare designs for manufacture, work content quality and engineering processes) estimate costs and the duration of projects for customers quotations. You will also be involved in contributing towards technical bid evaluations and proposals, while always adhering to internal quality processes.Perks of being a Belcan employee:As an Electronics Design Engineer with Belcan you will be entitled to all of Belcan's benefits. This includes life assurance, great holiday allowance (including a long Christmas break), 24/7 virtual GP for you and your family, company sick pay, shopping vouchers, food and drink discounts and access to our salary sacrifice scheme's.Key Skills and experience: * Experienced working on Altium, Fusion 360 Eagle, or similar. * Able to work with embedded devices - microcontrollers, FPGAs/SoCs and associated development processes & tools. * Experience of I/O mapping with a focus on PCB design and re-spinning PSB schematics FPGA porting, PCB schematics and PCB layouts. * Appreciative understanding of source and drawing revision control and use of PLM systems in this endeavour. * Appreciative understanding of PCBA manufacturing and testing techniques * Proficient in MS Office Interested? Click Apply Now for a confidential chat today!Founded in 1958, Belcan has become a global technological leader and established go to Engineering Services provider, working within many industries including Aerospace, Defence, Marine, Nuclear, Automotive and Cyber Security with over 10,000 professionals serving hundreds of customers in over 60 locations worldwide."
BCT Resourcing,Document Control Lead,Freelance,17/07/2024,Unknown,"Reading, England, United Kingdom","Document Control LeadReading, BerkshireCompany client is looking to recruit a Document Control Lead for an 8-month contract with a leading engineering and maintenance provider. This position is based near Reading, and the client is seeking someone to start as soon as possible.As a Document Control Lead, you will develop and implement existing document control procedures to ensure the efficient management of documents. You will oversee the creation, revision, and distribution of controlled documents, ensuring compliance with regulatory standards and internal policies. Additionally, you will establish and maintain a centralised document repository, organising files for retrieval and tracking document versions.The Document Control Lead will collaborate with the Client/Principal contractor to facilitate the review and approval processes for new and updated documents. You will conduct regular audits to ensure document accuracy, completeness, and adherence to quality standards. Moreover, you will train staff on document control processes and provide ongoing support to ensure compliance and understanding. This role also involves monitoring changes in regulations and industry standards to update document control procedures accordingly.Travel and Lodge allowance will be provided in addition to the basic rate, in line with other Direct Employee allowances (based on home location). Due to the nature of this opportunity, you must be Security Cleared prior to appointment and meet all the eligibility criteria to obtain UK Security Clearance."
BCT Resourcing,Smart Dispense Technician - Enfield,Permanent,17/07/2024,"£24,944","London, United Kingdom","Smart Dispense Technician Enfield Enfield£24,944 per annumAre you:* Passionate about customer service and looking for a role with a differerence?* Interested in joining our growing team of industry specialists, who install and maintain equipment at over 90000 UK licenced premises including concerts, festivals, racecourses, stadiums and arenas including O2 Arena, Lords, Hyde Park, and Isle of Wight Festival. You'll receive:* A salary of £24944 p.a. plus generous London weighting within the M25* Bonus/incentive/overtime schemes* Benefits including life assurance, 21 days annual leave plus 8 bank holidays p.a., discounts from leading brands, wellbeing scheme, company pension scheme with employer contributions. Company vehicle/fuel with option for personal use. Weekend overtime is optional and currently available.* Industry leading training with ongoing support plus a structured career development path* A working pattern of up to 41 hours per week, Monday to Friday.* Potential to suggest improvements and see your successes celebrated company wide .Your typical day as a Smart Dispense Technician:No two days will be the same! As a Smart Dispense Technician you'll be visiting a range of bars to complete detailed technical and quality health checks and support with outstanding customer service. Our Technicians are the front line of our customer service operations- your day is planned from your home postcode, and you will build effective relationships with our key customers. You'll liaise with our planners and receive full support, training, and guidance. This is our entry level position and progression is encouraged.You'll already have:* Customer Service experience* A Full UK Driving Licence* Hospitality/Bar/Drinks Dispense experience is useful but NOT essential- we give comprehensive training.* The ability to work independently, remotely, and be determined to succeed, deliver a great customer experience, with a positive can-do attitude."
BCT Resourcing,QA Lead - Hybrid,Permanent,17/07/2024,Unknown,"Staffordshire Chambers of Commerce, England, United Kingdom","QA Lead - Hybrid WorkingStoke-on-Trent, StaffordshireWe are currently looking for a QA lead to join one of the fastest growing brokers in the UK. Our client specialises in motor, home, bike, and more. With a huge focus on digital and data led customer experiences.As the QA Lead you will be responsible for overseeing the daily operations of the QAs, ensuring they work towards proving the software meets all specified requirements.This role will involve management of QA Analysts while overlooking a number of squads in the business. This role will be expected to manage the testing on small projects and provide QA oversight across the Group.The ideal candidate will have a mixture of strategic and organisational experience alongside hands on testing and writing test plans.What we are looking for: * Extensive experience in software QA, with an expert understanding of modern testing methodologies, tools, and practices. * Extensive experience working in both agile squads and project teams. * Strong leadership skills with the ability to guide and mentor QAs. * Strong knowledge and appreciation of test automation. * Demonstratable experience in similar Lead positions with the ability to line manage multiple QAs. * Strong knowledge and experience of technical QA skills, specifically API testing and mobile/browser testing. * Strong knowledge and experience of Test Driven approaches to software engineering (ATDD, BDD & TDD). * Strong working knowledge of functional and non-functional testing. * Strong analytical and problem-solving skills, with the ability to identify issues and contribute to their resolution. * A passion for quality and a continuous improvement mindset.This role will be working at a Senior level in a growing organisation and team, the group overall are going through huge positive changes allowing a lot of autonomy.In addition to hybrid working our client offers annual performance related bonus and clear progression pathways."
BCT Resourcing,Principle QA - Hybrid,Permanent,17/07/2024,Unknown,"Staffordshire Chambers of Commerce, England, United Kingdom","Principle QA - Hybrid WorkingStoke-on-Trent We are currently looking for a Principle QA working closely with the Head of Test to join one of the fastest growing brokers in the UK. Our client specialises in motor, home, bike, and more. With a huge focus on digital and data led customer experiences.As the Principle QA you will be responsible for defining and implementing QA best practices and processes across the organisation. This role requires a deep understanding of QA methodologies, extensive experience in software testing, and a strategic mindset to drive quality improvements. The Principal QA must also possess strong leadership and communication skills, as they serve as a mentor and advisor to other QA professionals, and collaborate with various departments to ensure the delivery of high-quality software products.The ideal candidate will be predominantly focused at an organisational and strategic level, understanding how to build best practices across the business and make sure the wider business use the processes you will build.This role will have a number of QA Lead direct reports, previous lead experience is essential.What we are looking for * Extensive experience in software QA, with a deep understanding and experience of Agile methodologies and Waterfall * Strong communication skills, with the ability to communicate a consistent message clearly and concisely * Proven leadership skills, with the ability to guide, mentor, and motivate QA professionals * Strong analytical, problem-solving, and decision-making skills * In-depth knowledge of QA tools, frameworks, and best practices * A passion for quality and a continuous improvement mindset. * Experience of implementing Quality Gates and Test Governance * Evangelistic and Collaborative attitude to Testing and Quality * Knowledge of NFT and OAT * Experience managing 3rd party suppliers * Solid experience of working with Agile teams, processes, and tools. * Strong experience in a similar senior QA role * Automation first mindset and understanding the theory behind test automation.This role will be working at a Senior level in a growing organisation and team, the group overall are going through huge positive and this is a great opportunity to come into the business with the strategic mindset and have a lot of autonomy in the growing culture.In addition to hybrid working our client offers annual performance related bonus and clear progression pathways."
BCT Resourcing,.NET Developer,Permanent,17/07/2024,£50k-70k,"London, England, United Kingdom","We are looking for a .NET Developer to join a leading London market Insurer in the City of London.Key Technical Skills Required:Visual Studio 2022, VS Code or equivalentASP/NET 4.8 / AS[.NET Core 8C# (Essential)SQLSome scripting language skills with PowerShell or BashExperience with multithreading applications such as Linq or Blazor (Desirable)Insurance experience would be preferred / Minimum Financial Services backgroundPlease note this client doesn't offer sponsorship & will only consider UK Based profiles. #LI-PB1"
BCT Resourcing,Pensions Actuarial Associate,Permanent,17/07/2024,£45k-65k,"London, England, United Kingdom","Pensions Actuarial AssociateLondon£45,000 - £65,000 per annumA Leading partner-led consultancy seeking a talented and ambitious part/NNQ actuary to join them as a Pensions Actuarial Associate in their core consulting team.Our company client is pleased to be working with a leading partner-led consultancy seeking a talented and ambitious part/NNQ actuary to join them as a Pensions Actuarial Associate.You will work for a range of different clients both Trustee and Corporate, typically over 50% will be FTSE100 companies. You will review work done by others and carry out more challenging calculation work, such as approximate valuations and analyses of surplus, you will prepare figures and analyse the impact of pension schemes on balance sheets of UK and International companies in addition to managing projects and client work as you progress.Role requirements:Degree educated and making good progress towards the FIA qualification.A minimum of 12 months experience within a pensions actuarial consultancy.Excellent problem solving and numeracy skills.This business is renowned for having the best scope for progression in the market, with employees reaching partner level at unprecedented rates. Here you will also receive opportunities to work alongside and learn from some of the best consulting actuaries in the UK DB pensions market.For further details on this role or for a confidential discussion around how your role compares in the market, please don't hesitate to apply the job online. #LI-PB1"
BCT Resourcing,DC Consultant,Permanent,17/07/2024,£50k-95k,"London, England, United Kingdom","DC Consultant/Senior ConsultantLondon£50,000 - £95,000 per annumLeading partner-led consultancy in their search for a DC Consultant/Senior Consultant to join their London or Hampshire office, to help clients improve governance, investment and communication in their DC schemes.Company client is working with a leading partner-led consultancy in their search for a DC Consultant/Senior Consultant to join their London or Hampshire office, to help clients improve governance, investment and communication in their DC schemes. You will build and manage relationships with clients, maintaining up-to-date knowledge of market practice, legislation and DC governance requirements. You will run and interpret DC Investment strategy modelling to identify suitable investment strategies and conduct investment manager selection and DC providers' exercises. Role requirements: * Qualified or making good progress towards FIA, FFA or CFA. * Demonstrable experience of working within the UK DC pension scheme advisory sector in a consultancy environment. * Excellent communication skills.This is an excellent opportunity to work with a very well known and highly respected consultancy in the DC that advise a significant share of FTSE100 companies. You will work with well-known industry professionals that are experts in their field within an environment that will accelerate your progression as part of a meritocracy. For further details on this role or for a confidential discussion around how your role compares in the market, please don't hesitate to apply the job online."
BCT Resourcing,Maintenance Technician - Manchester,Permanent,17/07/2024,"£35,098","Greater Manchester, United Kingdom","Maintenance Technician Manchester £35,098 per annumAre you:Looking for a field-based engineering role where work is planned around your home postcode? And you are paid door to door, from leaving home to returning?A natural problem solver, skilled in an engineering or technical discipline? Someone who enjoys working with customers, who we place at the core of everything we do?Interested in joining our growing team of 450+ industry specialists who have installed and maintained drinks dispense equipment at over 90000 licenced premises across the UK plus at concerts, festivals and racecourses, stadiums and arenas.Ready to be welcomed into our key team of drinks dispense solutions experts who deliver excellent customer service and keep our customers pouring? At Innserve, we are One Big Team.You'll receive:A salary of £35098 p.a.23 days annual leave plus 8 bank holidays p.a.Company vehicle, with option for personal use, including fuel. Pay door to door, from leaving home to returning from work.Benefits including life assurance, healthcare, discounts from leading brands, welfare scheme, company pension scheme with employer contributionsHighest spec tools, equipment, PPE, and uniformIndustry leading training with ongoing support plus a structured career development pathA 43 hours per week roster pattern(including one weekend in five worked). Hours are set between 09:00-21:00.Potential to suggest improvements and see your successes celebrated company wide .Our Maintenance Technicians are our front line in customer service and providers of quality technical services for the installation and maintenance of drinks dispense equipment. You will be working with customers to build effective relationships and using your expertise in faultfinding/diagnostics to maintain and repair drinks dispense equipment efficiently and safely. We Keep Britain Pouring.You'll already have:A practical approach to work with experience in a technical or engineering role.Proven ability to work with tools and enjoy faultfinding, diagnostics and problem solving technical issues.You will be determined to succeed and deliver a great customer experience.You will be flexible and able to work independently.A full UK driving licence.Beer dispense/Brewery/Drinks Dispense experience is ideal but not essential as comprehensive training is given.We are One Big Team. Interested in joining us? #LI-PB1"
BCT Resourcing,Maintenance Technician - High Wycombe,Permanent,17/07/2024,"£35,098","High Wycombe, England, United Kingdom","Maintenance TechnicianHigh Wycombe, Buckinghamshire£35,098 per annumAre you:· Looking for a field-based engineering role where work is planned around your home postcode? And you are paid door to door, from leaving home to returning?· A natural problem solver, skilled in an engineering or technical discipline? Someone who enjoys working with customers, who we place at the core of everything we do?· Interested in joining our growing team of 450+ industry specialists who have installed and maintained drinks dispense equipment at over 90000 licenced premises across the UK plus at concerts, festivals and racecourses, stadiums and arenas.· Ready to be welcomed into our key team of drinks dispense solutions experts who deliver excellent customer service and keep our customers pouring? At Innserve, we are One Big Team.You'll receive:* A salary of £35098p.a.* For London based roles, a generous London weighting.* 23 days annual leave per year plus 8 bank holidays per year* Company vehicle, available for personal use, including fuel.* Benefits including life assurance, healthcare, discounts from leading brands, welfare scheme, company pension scheme with employer contributions.* Highest spec tools, equipment, PPE, and uniform* Work booked from your home postcode to help you with work life balance* Industry leading training with ongoing support plus a structured career development path* Potential to suggest improvements and see your successes celebrated company wide.Your typical day as a Maintenance Technician: Will be fast paced, extremely varied and far from a typical field engineering job! Our Maintenance Technicians are our ambassadors, working with a varied range of customers. This exciting role offers the chance to install, maintain and repair a range of high spec drinks dispense equipment at locations planned around your home postcode. We care about our customers: you'll support them with training, guidance, and highest levels of customer service.You'll already have: * A practical, flexible approach to work with experience in a technical or engineering role. * Experience as a field service engineer * Experience in mechanical or electrical installations/maintenance, fault finding, plumbing or diagnostics. * The ability to work with tools and enjoy problem solving technical issues. * Determination to succeed and deliver excellence in customer experience. * The ability to work independently. · A full UK driving licence.· Beer dispense/Brewery/Drinks Dispe"
BCT Resourcing,Smart Dispense Technician,Permanent,17/07/2024,"£24,944","North Somerset, United Kingdom","Smart Dispense Technician - Part Time Bristol£24,944 per annumAre you:· Someone who is passionate about customer service?· Looking for a part time job with a differerence? We are offering part time hours, Monday to Friday inclusive. Hours will be negotiable between 6am and 2pm.· Interested in joining our growing team of drinks dispense industry specialists, who specialise in installing and maintaining drinks dispense equipment at over 90000 licenced premises across the UK plus at concerts, festivals and racecourses, stadiums and arenas including the O2 Arena, Lords, Hyde Park, and the Isle of Wight Festival.· Ready to be welcomed into our key team of drinks dispense solutions experts who deliver customer service excellence and keep our customers pouring? At Innserve, we are One Big Team.You'll receive:* A salary of £24944 p.a. pro rata* Bonus/incentive/overtime schemes* Benefits including life assurance, 21 days annual leave and 8 bank holidays pa pro rata, discounts from leading brands, wellbeing scheme, company pension scheme with employer contributions. Company vehicle/fuel with option for personal use. Weekend overtime is optional and currently available.* Industry leading training with ongoing support plus a structured career development path* A working pattern of up to 25 hours per week, Monday to Friday. (Our equivalent full-time roles are 41 hours per week.)* Potential to suggest improvements and see your successes celebrated company wide.Your typical day as a Smart Dispense Technician:No two days will be the same! Our Smart Dispense system is the beating heart in any bar and offers an exceptional range of cutting-edge draught dispense solutions that can be tailored to any needs. As a Smart Dispense Technician, you'll be visiting a range of bars and restaurants to complete detailed technical and quality health checks and support with outstanding customer service. Our Technicians are the front line of our customer service operations- your day is planned from your home postcode, and you will build effective relationships with our key customers, sanitising, servicing and maintaining drinks dispense equipment. You'll liaise closely with our planning team and receive full support, training, and guidance as you start your career with us. This is our entry level position and progression is encouraged. You'll support maintenance and installation colleagues and grow your skills, guided by your manager. At Innserve, we are One Big Team, and We Keep Britain Pouring.You'll already have:* Customer Service experience* A Full UK Driving Licence* Hospitality/Bar/Drinks Dispense experience is useful but NOT essential- we give comprehensive training.* &nbs"
BCT Resourcing,Maintenance Technician - High Wycombe,Permanent,17/07/2024,"£35,098","High Wycombe, England, United Kingdom","Maintenance Technician High WycombeHigh Wycombe, Buckinghamshire£35,098 per annumAre you:· Looking for a field-based engineering role where work is planned around your home postcode? And you are paid door to door, from leaving home to returning?· A natural problem solver, skilled in an engineering or technical discipline? Someone who enjoys working with customers, who we place at the core of everything we do?· Interested in joining our growing team of 450+ industry specialists who have installed and maintained drinks dispense equipment at over 90000 licenced premises across the UK plus at concerts, festivals and racecourses, stadiums and arenas.· Ready to be welcomed into our key team of drinks dispense solutions experts who deliver excellent customer service and keep our customers pouring? At Innserve, we are One Big Team.You'll receive:* A salary of £35098p.a.* For London based roles, a generous London weighting.* 31 days annual leave per year* Company vehicle, available for personal use, including fuel.* Benefits including life assurance, healthcare, discounts from leading brands, welfare scheme, company pension scheme with employer contributions.* Highest spec tools, equipment, PPE, and uniform* Work booked from your home postcode to help you with work life balance* Industry leading training with ongoing support plus a structured career development path* Potential to suggest improvements and see your successes celebrated company wide.Your typical day as a Maintenance Technician: Will be fast paced, extremely varied and far from a typical field engineering job! Our Maintenance Technicians are our ambassadors, working with a varied range of customers. This exciting role offers the chance to install, maintain and repair a range of high spec drinks dispense equipment at locations planned around your home postcode. We care about our customers: you'll support them with training, guidance, and highest levels of customer service."
BCT Resourcing,Remanufacturing Technician,Permanent,17/07/2024,"£25,145","Sunderland Enterprise Park, England, United Kingdom","Remanufacturing TechnicianSunderland, Tyne and Wear£25,145 per annumAre you:Looking for a hands-on Manufacturing role that's out of the ordinary?Interested in joining our growing team of specialists who support our colleagues and clients?Experienced in manufacturing, rework, remanufacturing, warehouse, production , logistics, supply chain or similar, and looking for your next career move?Someone who enjoys the challenges of Production or Warehouse environments and will join our key team driving the business forward?You'll receive:A salary to £25145pa, with bonus/incentive scheme.Benefits including life assurance, 31 days annual leave p.a., healthcare, discounts from leading brands, welfare scheme, company pension scheme with employer contributions, and highest spec equipment for home/remote working, free parking with premium hot drinks and branded soft drinks.Industry leading training with ongoing support plus a structured career development path.Potential to suggest improvements and see your successes celebrated company wide, in a business that recognises achievement and promotes from within.Your typical day as a Remanufacturing Technician:In this fast-paced role, created due to unprecedented success in growth, you will be responsible for Repair/remanufacture of a range of products to the required quality and in a timely manner. You will be involved in hands-on diagnostics, repairs and developing an understanding of any faults with products and equipment. You'll work closely with our growing team to build on your knowledge of logistics/supply chain, keeping our field-based engineering technicians supplied with products, parts, and components. Your input will be vital in driving environmental sustainability and waste reduction initiatives. If you enjoy problem solving and are passionate about hands-on working this could be the role for you!You will be welcomed into a team of specialists who are passionate about \""Keeping Britain Pouring\"" and who will do anything and everything they can for our customers and each other.You'll already have:Proven organisational and planning skills with an ability to work in a fast-paced environment.Strong communication skills, a \""can-do\"" attitude and be a strong team player.Attention to detail and a focus on quality.Experience working with enthusiasm and drive to achieve targets and meet deadlines.A flexible attitude and be able to work independently.Experience of working in a warehouse, supply chain or remanufacturing role, and be able to demonstrate that you can be hands on when it comes to understanding and diagnosing. #LI-PB1"
BCT Resourcing,Diagnostic Technician,Permanent,17/07/2024,"£40k-49,500","London, England, United Kingdom","Senior/Diagnostic Technician - NEW SITEWimbledon, LondonSALARY of up to £49,500 Dependant on Experience and if you hold a MOT Licence, and no Bonus to Try and chase!A Great opportunity has arisen to join a large workshop specialising in all makes and models of cars as a Diagnostic Technician Working 5 Days a week - Monday to Friday - NO WEEKENDSThe successful Candidate will benefit from excellent in-house training as well as the opportunity to progress within the business to Senior Diagnostic Technician or Master Technician and they will give you the opportunity to continually develop.No customer interaction, the work is all set and planned, great place to work, very stable team, good atmosphere to work in. The work just keeps coming in.Qualified by Experience or NVQ 3 certificates in a suitable field and a Full Driving License and access to their own vehicle.Good Rates of Pay and No Bonus's to 'try' and hit #LI-PB1"
BCT Resourcing,Dealership Accountant - London,Permanent,17/07/2024,£50k-55k,"London, England, United Kingdom","Dealership AccountantQualified by Experience, Part Qualified or Qualified.£50,000 - £55,000 per annumA Large Progressive Group requires a forward-thinking Dealership Accountant to join their team. In return, you will receive a highly competitive Salary plus a Bonus plus a tax efficient Car. The company are highly regarded within the trade and will allow you to grow and progress within the Group, progression and promotions are on offer for the right candidates. This is an exciting position with a world-leading brand and company!Basic £45,000-£50,000 (Negotiable) + 10% Bonus + Car + BenefitsThe role requires a self-motivated and focused person who will quickly establish themselves as a key contact for Management Information.You will be responsible for the smooth running of the accounts function, delivering timely and accurate management accounts. Develop controls to maximize returns and cash flow and utilize your financial and management experience to ensure the effective running of the dealership. This role is ideal for an articulate, methodical and analytical individual.The Candidate:Strong technical and analytical accounting skillsExceptional leadership skills but with a good sense of humourThe successful candidate will have a proven track record within the motor industryPrevious Accountancy Experience within a Car Dealership and Kerridge, Pinnacle or a similar Accounting PackageStrong written and communication skillsThe Role, and duties will be varied and will include:Monthly management accounts - providing detailed analysis and commentary which will involve extensive liaison with the Divisional Finance Directors.Collation and examination of the purchase and sales ledger information from the centralised accounting department.Supervision of the Accounts staff and the Sales AdministratorsAnalytical support across the business, evaluating profit optimisation.Monitoring performance measurement tools and techniques for projects to form an end conclusion.Review of capital and project appraisals.Consolidation of group budgets and forecasts.Investigative and analytical exercises as required.Ad hoc projects. #LI-PB1"
Huxley,Global Technical Business Manager,Freelance,16/07/2024,As soon as possible,"London, England, United Kingdom","We have a current opportunity for a Global Technology Business Manager on a contract basis. The position will be based in London. For further information about this position please apply. Please click here to find out more about our Key Information Documents. Please note that the documents provided contain generic information. If we are successful in finding you an assignment, you will receive a Key Information Document which will be specific to the vendor set-up you have chosen and your placement. To find out more about Huxley, please visit XX XX XX XX XX Huxley, a trading division of SThree Partnership LLP is acting as an Employment Business in relation to this vacancy | Registered office | 1st Floor, 75 King William Street, London, EC4N 7BE, United Kingdom | Partnership Number | OC387148 England and Wales"
IC Resources,Principal Verification Engineer,Permanent,16/07/2024,£40k-100k,"Krakow, Lesser Poland Voivodeship, Poland","We are hiring for a Principal Verification Engineer to join our phenomenally successful Semiconductor IP client based in Krakow, Poland. Our client has achieved global success and is transforming the way SoCs (System-on-Chip) are designed and verified. They are expanding multiple design centres, including Krakow, and seek a Principal Verification Engineer to work as the technical lead for verification activities. The Principal Verification Engineer will lead advanced UVM testbench development and debug, drive and execute RTL verification test/coverage at system level and be central in refining the verification process and methodology across the business. Hybrid working is standard, with a few days in the office each week. Requirements for the Principal Verification Engineer position include: A Master’s degree or PhD in Electronics Engineering or similar An extensive background within digital IP / SoC verification Expert skills in SystemVerilog / Verilog, and UVM Excellent problem-solving and team working skills You can expect to enjoy working in a highly innovative, inspiring, friendly environment, that encourages productivity and creativity. Our client offers highly competitive packages and relocation assistance where needed. For details, please contact Caroline Pye."
Progressive,Controls Engineer - Subsea Machinery,Freelance,16/07/2024,As soon as possible,"Jarrow, England, United Kingdom","Controls Engineer Wanted for Subsea Machinery Project in Jarrow A leading company in the subsea machinery sector is looking for a skilled and experienced controls engineer for a contract position. The successful candidate will be responsible for designing SCADA/HMI applications, PLC programming (Siemens / Rockwell), working with CPT's , ROV's, and have experience handling machinery. Qualifications: - Bachelor's degree or higher in electrical engineering - Strong knowledge of industrial control systems design principles - BOSIET Offshore Skills: - PLC Programming - Siemens / Rockwell - Designing of SCADA/HMI Applications - Machinery Experience - Manufacture and assembly support - Client support - on-site and remote (occasional site travel preferred) - ROVs/CPTs Knowledge - Technical documentation to support equipment (specifications, risk assessments, manuals, etc) - Experience level - ability to work on projects without direct supervision. 5+ years. Rate: £50 per hour - OUTSIDE IR35 Location: Jarrow, UK If you're an experienced controls engineer seeking an exciting new challenge, apply today! Our client offers competitive pay rates and tailored benefits packages for each employee. Don't miss out on this opportunity. Please click here to find out more about our Key Information Documents. Please note that the documents provided contain generic information. If we are successful in finding you an assignment, you will receive a Key Information Document which will be specific to the vendor set-up you have chosen and your placement. To find out more about Progressive please visit XX XX XX XX XX Progressive Recruitment, a trading division of SThree Partnership LLP is acting as an Employment Business in relation to this vacancy | Registered office | 1st Floor, 75 King William Street, London, EC4N 7BE, United Kingdom | Partnership Number | OC387148 England and Wales"
Progressive,Infrastructure Engineer,Freelance,16/07/2024,As soon as possible,"Carlisle, England, United Kingdom","Experienced Infrastructure Engineer Needed for Contract Role in Cumbria, UK We are seeking an experienced infrastructure engineer to join our client's team on a contract basis. You will be responsible for designing, implementing, and maintaining IT systems, troubleshooting hardware and software issues, ensuring compliance with industry regulations, and collaborating with cross-functional teams. To qualify for this role, you must have at least 3+ years' experience as a Technology Infrastructure engineer or a similar position. ITiL v4 Foundation certification is preferred. This is a 6-month contract role based in Cumbria, UK, offering a rate of £500 per day inside IR35. Relevant skills for this opportunity include Technical Support, Systems Integration, Hardware/Software Troubleshooting, and more. If you're passionate about delivering exceptional service and innovative solutions, please fire across your CV! Please click here to find out more about our Key Information Documents. Please note that the documents provided contain generic information. If we are successful in finding you an assignment, you will receive a Key Information Document which will be specific to the vendor set-up you have chosen and your placement. To find out more about Progressive please visit XX XX XX XX XX Progressive Recruitment, a trading division of SThree Partnership LLP is acting as an Employment Business in relation to this vacancy | Registered office | 1st Floor, 75 King William Street, London, EC4N 7BE, United Kingdom | Partnership Number | OC387148 England and Wales"
Intec Select,Internal Communications Lead,Freelance,16/07/2024,£350-400,United Kingdom,"Internal Communications Lead – 6 Month Contract - £400 Per Day Inside IR35 – Hybrid / London Overview: A fantastic opportunity has become available with one of our clients, a remarkable brand whose work positively impacts both humanity and the natural environment. They address some of the world's most significant global health challenges. We are seeking a candidate to lead internal communications, ensuring employees understand, engage with, and champion the organisation’s mission, strategy, and culture. The role involves aligning key messages and internal communication strategies with those of external stakeholder communications whenever suitable. Role & Responsibilities: Lead the development and oversee the implementation of communications plans and channel strategies with an audience-first approach. Collaborate with various teams and business areas to provide guidance on effective internal communication methods that help employees connect with the organisation. Ensure internal communications are well-coordinated and integrated with external communications. Advise the Senior Leadership team on their internal communication priorities and the optimal use of communication channels. Draft and edit engaging and timely internal communications materials, including all-staff emails, intranet posts, internal policies, internal newsletters, talking points, and briefing materials. Develop a continuous program to enhance staff communication skills, starting with senior and key operational staff. Be the owner of the risk and control environment for your area and be accountable for the quality of you and the wider team’s outputs. Essential Skills & Requirements: Significant experience working in an internal communications team within a complex stakeholder environment. Proven experience in developing and implementing communication strategies within an internal communications context. Experience delivering multi-channel communications, including intranets. Exceptional writing skills, including the ability to translate complex information into clear and compelling content related to strategy, business processes, and research, as well as editing organisation-wide communications under tight deadlines. Ability to multitask, managing different priorities and meeting deadlines while maintaining quality. Contract Details: £400 per day Inside IR35 (via Umbrella) 6 month contract Hybrid – 3 days per week in London (Tuesday, Wednesday and Thursday mandatory) Internal Communications Lead – 6 Month Contract - £400 Per Day Inside IR35 – Hybrid / London"
Clarion Housing Group,Neighbourhood Response Officer x 2,Permanent,16/07/2024,As soon as possible,"London, England, United Kingdom","Salary: £36,966 to £43,121 annum Location: Corsica Street, London Hours: 36 hours per week Contract Type: 1 x Permanent & 1 x Fixed Term Contract/Secondment - 12 months. We're looking for confident, customer focused Neighbourhood Response Officers to be based our London Corsica Street office and to carry out neighbourhood management of properties in the local region. Assisting centrally based teams by completing customer visits, viewing and sign-up appointments, and identifying and investigating tenancy breaches and reports of anti-social behaviour. What you'll be doing Working collaboratively with other teams, external agencies and residents, you'll ensure that Clarion Neighbourhoods are clean and safe, identify improvements and investigate breaches of tenancy. We'll look to you develop and deliver neighbourhood plans and local offers as well as working with local resident groups to develop local community facilities, activities and events. If this sounds like an opportunity for you then take a look at the full role profile for more information NRO Salaries are just the starting point. Here at Clarion we're dedicated to rewarding hard work and commitment, and providing benefits that support you and your lifestyle - dive in and find out more here or alternatively visit our website for more information. To find out more about who we are and what we do, please click here or please visit our website or click 'apply. Closing Date: Tuesday 30th July 2024 at midnight. Applicants must be able to travel across regions as required. This post is subject to Basic Criminal Record Check Clearance. You must be eligible to work in the UK to apply for this vacancy; Clarion are not able to offer visa sponsorship. You are required to reside in England or Wales for the duration of your employment."
